Link,heat,rank,lane,last_name,first_name,reaction_time,split_50m,split_100m,split_150m,split_200m,split_250m,split_300m,split_350m,final_time
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final A,1,4,PARK,Tae Hwan,0.68,26.33,55.02,1:24.53,1:53.81,2:22.52,2:50.78,3:18.19,3:44.73
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final A,2,2,COCHRANE,Ryan,0.92,26.63,55.34,1:24.30,1:53.13,2:21.86,2:50.76,3:19.48,3:46.78
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final A,3,5,ZHANG,Lin,0.74,26.41,55.09,1:24.49,1:53.89,2:22.71,2:51.31,3:18.98,3:46.91
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final A,4,6,VANDERKAAY,Peter,0.77,26.48,55.40,1:24.46,1:53.89,2:22.79,2:51.45,3:19.67,3:47.11
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final A,5,3,HOUCHIN,Charlie,0.71,26.67,55.73,1:25.21,1:54.24,2:22.85,2:51.81,3:20.12,3:47.98
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final A,6,7,MATSUDA,Takeshi,0.77,26.94,55.93,1:25.17,1:54.45,2:23.49,2:52.38,3:20.98,3:49.10
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final A,7,1,HURLEY,Robert,0.8,26.19,55.09,1:24.28,1:53.97,2:23.30,2:52.36,3:21.09,3:49.36
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final A,8,8,HIGASHI,Junpei,0.8,27.04,56.17,1:25.87,1:55.38,2:24.80,2:54.20,3:23.76,3:51.90
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final B,1,4,KLUEH,Michael,0.79,26.36,54.93,1:24.22,1:53.74,2:23.22,2:52.92,3:22.14,3:50.36
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final B,2,5,UCHIDA,Sho,0.81,27.0,55.80,1:24.88,1:54.25,2:23.83,2:53.43,3:22.96,3:51.02
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final B,3,6,MATHLOUTHI,Ahmed,0.82,27.03,56.45,1:25.41,1:54.95,2:24.46,2:53.88,3:23.04,3:51.37
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final B,4,1,BASSON,Jean,0.67,26.51,55.54,1:24.90,1:54.41,2:23.95,2:53.49,3:22.79,3:51.38
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final B,5,3,FRASER-HOLMES,Thomas,0.76,25.87,54.66,1:23.93,1:53.74,2:23.46,2:53.39,3:22.72,3:51.61
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final B,6,7,RANDALL,Mark,0.78,27.39,56.28,1:25.80,1:55.28,2:24.80,2:54.09,3:23.38,3:51.70
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final B,7,8,JANG,Sangjin,0.8,27.13,56.06,1:25.83,1:55.58,2:25.26,2:55.25,3:25.97,3:55.96
https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,Final B,8,2,ABDEL KHALIK,Hassaan,0.73,26.18,55.32,1:25.07,1:54.98,2:25.20,2:56.06,3:27.45,3:58.15
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final A,1,4,VANDERKAAY,Peter,0.77,26.39,54.91,1:23.73,1:52.51,2:20.88,2:49.74,3:18.47,3:46.88
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final A,2,6,KLUEH,Michael,0.76,26.4,54.71,1:23.38,1:52.52,2:21.69,2:51.32,3:20.60,3:48.24
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final A,3,3,HOUCHIN,Charlie,0.73,26.28,55.12,1:24.23,1:53.53,2:22.28,2:51.27,3:19.93,3:48.30
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final A,4,5,LA TOURETTE,Chad,0.88,27.06,55.87,1:24.83,1:53.91,2:22.64,2:51.83,3:20.97,3:48.76
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final A,5,1,PATTON,Matthew,0.76,26.51,55.65,1:24.70,1:53.88,2:23.26,2:52.52,3:22.28,3:51.38
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final A,6,2,DWYER,Conor,0.66,26.76,55.45,1:24.51,1:53.58,2:22.82,2:52.32,3:22.14,3:51.57
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final A,7,7,MOSKO,David,0.77,27.06,55.72,1:25.01,1:54.37,2:23.93,2:53.76,3:23.66,3:52.64
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final A,8,8,MCLEAN,Matthew,0.78,26.27,54.91,1:24.33,1:54.03,2:23.83,2:54.13,3:24.40,3:53.23
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final B,1,3,RYAN,Sean,0.58,26.98,56.07,1:25.40,1:55.17,2:24.71,2:54.80,3:24.28,3:52.51
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final B,2,4,PINION,Evan,0.65,26.84,55.66,1:24.86,1:54.46,2:24.08,2:54.19,3:24.15,3:53.04
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final B,3,5,FEELEY,Ryan,0.74,26.89,56.19,1:25.73,1:55.83,2:25.78,2:56.22,3:25.51,3:54.00
