year,competition,mens_400_free_pdf,womens_400_free_pdf
2010,CONOCO PHILLIPS NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A11000C000000FFFFFFFFFFFF01.pdf
2010,SPEEDO JUNIOR NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A0C0020000000FFFFFFFFFFFF01.pdf
2010,MUTUAL OF OMAHA PAN PACIFIC CHAMPIONSHIPS,https://www.omegatiming.com/File/00010A0B0031000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A0B0030000000FFFFFFFFFFFF01.pdf
2010,FINA/ARENA SWIMMING WORLD CUP,https://www.omegatiming.com/File/00010A09001B000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A09003B000000FFFFFFFFFFFF01.pdf
2010,FINA/ARENA SWIMMING WORLD CUP,https://www.omegatiming.com/File/00010A08001C000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A08003A000000FFFFFFFFFFFF01.pdf
2010,FINA/ARENA SWIMMING WORLD CUP,https://www.omegatiming.com/File/00010A07001C000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A07003D000000FFFFFFFFFFFF01.pdf
2010,FINA/ARENA SWIMMING WORLD CUP,https://www.omegatiming.com/File/00010A06001B000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A06003D000000FFFFFFFFFFFF01.pdf
2010,FINA/ARENA SWIMMING WORLD CUP,https://www.omegatiming.com/File/00010A05001D000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A05003F000000FFFFFFFFFFFF01.pdf
2010,FINA/ARENA SWIMMING WORLD CUP,https://www.omegatiming.com/File/00010A04001B000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A04003C000000FFFFFFFFFFFF01.pdf
2010,USA SWIMMING LONG COURSE INVITATIONAL,https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010A01000A000000FFFFFFFFFFFF01.pdf
2011,CONOCOPHILLIPS NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010B0C000B000000FFFFFFFFFFFF01.pdf
2011,SPEEDO JUNIOR CHAMPIONSHIPS,https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00010B0B0022000000FFFFFFFFFFFF01.pdf
